Produto,Preço_Atual
AAPL34,62.34
ABEV3,12.12
AGRO3,20.74
ALUP11,29.44
AMER3,5.54
AMZO34,62.1
B3SA3,12.52
BABA34,23.65
BBAS3,20.52
BBFI11,348.48
BBSE3,32.46
BCFF11,0.0
BMOB3,19.56
BPFF11,54.52
BRCR11,41.11
BRKM3,9.48
BRSR6,11.35
BTHF11,8.18
BTLG11,99.73
CASH3,4.84
CMIN3,5.06
COCA34,62.02
COGN3,2.87
CVCB3,2.04
CXSE3,13.97
DEVA11,27.23
ELET6,46.26
ENBR3,0.0
ENJU3,0.97
FIIB11,507.66
FLRY3,14.34
GGBR3,14.8
GGRC11,9.63
GMAT3,6.96
GOAU4,9.34
GOGL34,93.61
HASH11,88.88
HFOF11,5.84
HGBS11,19.02
HGRE11,111.61
HGRU11,124.44
ITSA4,10.94
ITUB3,33.2
ITUB4,37.38
KNSC11,8.67
M1TA34,144.5
MELI34,108.79
MGLU3,7.02
MSFT34,114.35
MXRF11,9.57
MXRF12,0.0
NUBR33,0.0
NVDC34,20.55
OIBR3,0.61
OIBR4,7.54
PATL11,59.01
PETR3,33.05
PETR4,30.56
PVBI11,74.12
RBED11,0.0
RBFF11,47.54
RBRR11,86.39
RBVA11,8.5
RENT3,34.31
ROXO34,13.17
SMAL11,105.21
SMTO3,17.4
SNAG11,9.56
SQIA3,0.0
TAEE11,34.28
TRBL11,60.23
TRXF11,97.06
TSLA34,59.52
VALE3,55.33
VGIR11,9.49
VILG11,81.12
VINO11,4.94
VISC11,102.96
VIVT3,34.16
WEGE3,37.64
XINA11,0.0
XPBR31,91.35
XPLG11,98.1
XPML11,99.24
XPSF11,5.99
ZAMP1,0.0
